time u_f u_wg 
0.000000 0.000009 0.000485 
0.001111 0.000009 0.000485 
0.002222 0.000009 0.000425 
0.003333 0.000009 0.000382 
0.004444 0.000009 0.000348 
0.005556 0.000009 0.000322 
0.006667 0.000009 0.000301 
0.007778 0.000009 0.000283 
0.008889 0.000009 0.000268 
0.010000 0.000009 0.000255 
0.011111 0.000009 0.000244 
0.012222 0.000009 0.000235 
0.013333 0.000009 0.000226 
0.014444 0.000009 0.000219 
0.015556 0.000009 0.000212 
0.016667 0.000009 0.000206 
0.017778 0.000009 0.000201 
0.018889 0.000009 0.000196 
0.020000 0.000009 0.000192 
0.021111 0.000009 0.000188 
0.022222 0.000010 0.000184 
0.023333 0.000010 0.000181 
0.024444 0.000010 0.000177 
0.025556 0.000010 0.000175 
0.026667 0.000010 0.000172 
0.027778 0.000010 0.000170 
0.028889 0.000010 0.000167 
0.030000 0.000010 0.000165 
0.031111 0.000010 0.000163 
0.032222 0.000010 0.000161 
0.033333 0.000010 0.000160 
0.034444 0.000010 0.000158 
0.035556 0.000010 0.000157 
0.036667 0.000010 0.000155 
0.037778 0.000010 0.000154 
0.038889 0.000010 0.000153 
0.040000 0.000010 0.000151 
0.041111 0.000010 0.000150 
0.042222 0.000010 0.000149 
0.043333 0.000010 0.000148 
0.044444 0.000010 0.000147 
0.045556 0.000010 0.000147 
0.046667 0.000010 0.000146 
0.047778 0.000010 0.000145 
0.048889 0.000010 0.000144 
0.050000 0.000010 0.000143 
0.051111 0.000010 0.000143 
0.052222 0.000010 0.000142 
0.053333 0.000010 0.000142 
0.054444 0.000010 0.000141 
0.055556 0.000010 0.000140 
0.056667 0.000010 0.000140 
0.057778 0.000011 0.000139 
0.058889 0.000011 0.000139 
0.060000 0.000011 0.000138 
0.061111 0.000011 0.000138 
0.062222 0.000011 0.000138 
0.063333 0.000011 0.000137 
0.064444 0.000011 0.000137 
0.065556 0.000011 0.000136 
0.066667 0.000011 0.000136 
0.067778 0.000011 0.000136 
0.068889 0.000011 0.000135 
0.070000 0.000011 0.000135 
0.071111 0.000011 0.000135 
0.072222 0.000011 0.000134 
0.073333 0.000011 0.000134 
0.074444 0.000011 0.000134 
0.075556 0.000011 0.000134 
