time u 
0.000000 0.743547 
0.007753 0.747304 
0.032247 0.747304 
0.050000 0.747304 
0.057753 0.772709 
0.082247 0.772709 
0.100000 0.772709 
0.107753 0.800326 
0.132247 0.800326 
0.150000 0.800326 
0.157753 0.830488 
0.182247 0.830488 
0.200000 0.830488 
0.207753 0.863601 
0.232247 0.863601 
0.250000 0.863601 
0.257753 0.900169 
0.282247 0.900169 
0.300000 0.900169 
0.307753 0.940823 
0.332247 0.940823 
0.350000 0.940823 
0.357753 0.986367 
0.382247 0.986367 
0.400000 0.986367 
0.407753 1.037848 
0.432247 1.037848 
0.450000 1.037848 
0.457753 1.096650 
0.482247 1.096650 
0.500000 1.096650 
0.507753 1.164654 
0.532247 1.164654 
0.550000 1.164654 
0.557753 1.244495 
0.582247 1.244495 
0.600000 1.244495 
0.607753 1.339995 
0.632247 1.339995 
0.650000 1.339995 
0.657753 1.456953 
0.682247 1.456953 
0.700000 1.456953 
0.707753 1.604690 
0.732247 1.604690 
0.750000 1.604690 
0.757753 1.799371 
0.782247 1.799371 
0.800000 1.799371 
0.807753 2.072198 
0.832247 2.072198 
0.850000 2.072198 
0.857753 2.493949 
0.882247 2.493949 
0.900000 2.493949 
0.907753 3.276597 
0.932247 3.276597 
0.950000 3.276597 
0.957753 5.000000 
0.982247 5.000000 
1.000000 5.000000 
